                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.74913,                 0.4798,                0.87189,                0.88644,                0.86174,                0.93075,                 0.7364,                 0.7042,                0.48521,                0.88997,              0.0071488,              0.0071488,              0.0071488
                     75,                0.74452,                0.47593,                0.87173,                0.88007,                0.86627,                0.93147,                0.73819,                0.70568,                0.49296,                0.88904,              0.0071092,              0.0071092,              0.0071092
                     76,                0.74672,                0.47857,                0.87216,                0.88414,                0.86258,                 0.9314,                0.73771,                0.70046,                0.48595,                0.88866,              0.0070696,              0.0070696,              0.0070696
                     77,                0.74325,                0.47491,                0.87226,                0.89341,                0.85668,                0.93138,                0.73827,                0.69845,                0.48495,                0.88697,                0.00703,                0.00703,                0.00703
                     78,                 0.7435,                0.47364,                0.87101,                0.88954,                0.86152,                0.93207,                0.73909,                0.69713,                0.48496,                0.88887,              0.0069904,              0.0069904,              0.0069904
                     79,                0.74321,                0.47509,                0.87095,                0.89365,                0.85169,                0.93112,                0.73908,                0.70216,                0.48242,                0.88677,              0.0069508,              0.0069508,              0.0069508
                     80,                0.74345,                 0.4744,                0.87107,                0.88699,                0.85877,                0.93153,                0.74078,                0.70052,                 0.4826,                0.88845,              0.0069112,              0.0069112,              0.0069112
                     81,                0.74276,                0.47485,                0.87153,                0.89508,                0.85412,                0.93268,                0.74122,                0.70025,                0.48563,                0.88812,              0.0068716,              0.0068716,              0.0068716
                     82,                0.74115,                0.47196,                 0.8708,                0.88995,                0.86142,                0.93262,                0.73821,                0.70235,                0.48547,                0.89065,               0.006832,               0.006832,               0.006832
                     83,                0.73768,                0.46999,                   0.87,                0.89493,                0.85726,                  0.931,                0.74132,                0.69662,                0.48401,                0.88491,              0.0067924,              0.0067924,              0.0067924
                     84,                0.73956,                0.46984,                0.86834,                0.89155,                0.86182,                0.93223,                0.74248,                0.69737,                0.48042,                 0.8863,              0.0067528,              0.0067528,              0.0067528
                     85,                0.73829,                0.46956,                0.87063,                0.89564,                0.85779,                0.93335,                0.74175,                0.69478,                0.47497,                 0.8843,              0.0067132,              0.0067132,              0.0067132
                     86,                  0.737,                0.46829,                0.86977,                0.89656,                0.85726,                0.93312,                0.74181,                0.69797,                0.47801,                0.88532,              0.0066736,              0.0066736,              0.0066736
                     87,                0.73993,                0.47028,                0.87047,                0.89416,                 0.8573,                 0.9335,                0.74264,                0.69634,                 0.4756,                0.88395,               0.006634,               0.006634,               0.006634
                     88,                0.73536,                0.46625,                0.86737,                0.89223,                0.86017,                0.93348,                0.74345,                0.69501,                0.47844,                0.88642,              0.0065944,              0.0065944,              0.0065944
                     89,                 0.7314,                 0.4647,                0.86797,                0.88874,                0.86334,                0.93261,                0.74293,                0.69448,                0.48079,                0.88418,              0.0065548,              0.0065548,              0.0065548
                     90,                0.73771,                0.46813,                0.86809,                0.88892,                0.86278,                0.93196,                0.74331,                0.69334,                0.48582,                0.88411,              0.0065152,              0.0065152,              0.0065152
                     91,                0.73382,                0.46676,                0.86833,                0.89226,                0.86127,                0.93295,                0.74475,                0.69016,                 0.4823,                0.88262,              0.0064756,              0.0064756,              0.0064756
                     92,                0.73441,                0.46486,                0.86835,                0.88697,                0.86512,                0.93382,                0.74439,                0.69213,                 0.4754,                0.88539,               0.006436,               0.006436,               0.006436
                     93,                0.72741,                0.46401,                0.86629,                0.88509,                0.86785,                0.93347,                 0.7457,                0.69058,                0.47689,                0.88307,              0.0063964,              0.0063964,              0.0063964
                     94,                0.72625,                0.46228,                0.86825,                0.88577,                0.86881,                0.93426,                0.74608,                0.68959,                0.47591,                0.88371,              0.0063568,              0.0063568,              0.0063568
                     95,                0.72946,                0.46595,                0.86913,                0.88486,                0.86833,                0.93461,                0.74699,                0.68728,                0.47636,                0.88087,              0.0063172,              0.0063172,              0.0063172
                     96,                0.73012,                0.46072,                0.86538,                0.88815,                0.86593,                0.93479,                0.74645,                0.68517,                0.47299,                0.88195,              0.0062776,              0.0062776,              0.0062776
                     97,                0.73546,                0.46498,                0.86711,                0.88484,                0.86905,                0.93536,                0.74587,                 0.6874,                0.46953,                0.88279,               0.006238,               0.006238,               0.006238
                     98,                0.73049,                0.46146,                0.86643,                0.89273,                0.86229,                0.93425,                0.74684,                0.68972,                0.47212,                0.88466,              0.0061984,              0.0061984,              0.0061984
                     99,                0.72519,                0.45924,                0.86626,                0.88879,                0.86558,                0.93331,                0.74648,                0.68925,                0.47084,                0.88499,              0.0061588,              0.0061588,              0.0061588
                    100,                0.72535,                0.46003,                0.86539,                0.88822,                0.86691,                0.93442,                0.74728,                0.68581,                0.47411,                0.87917,              0.0061192,              0.0061192,              0.0061192
                    101,                0.72296,                0.45819,                0.86566,                0.89006,                0.86615,                0.93405,                0.74821,                0.68882,                0.47428,                0.88183,              0.0060796,              0.0060796,              0.0060796
                    102,                0.72351,                0.45802,                0.86522,                 0.8903,                 0.8674,                0.93504,                0.74831,                 0.6872,                  0.474,                0.88074,                0.00604,                0.00604,                0.00604
                    103,                 0.7252,                0.45872,                0.86711,                0.88937,                0.86539,                0.93398,                0.74641,                 0.6874,                0.47806,                0.87955,              0.0060004,              0.0060004,              0.0060004
                    104,                 0.7255,                0.45822,                0.86488,                0.89393,                0.85925,                0.93422,                0.74837,                0.68195,                0.47482,                0.87641,              0.0059608,              0.0059608,              0.0059608
                    105,                0.71916,                0.45623,                0.86521,                 0.8934,                 0.8637,                 0.9341,                0.74752,                 0.6887,                0.47286,                0.88279,              0.0059212,              0.0059212,              0.0059212
